,by,descendants,id,score,time,title,type,url,kids,text
0,selvan,0.0,38050106,15,1698503579,MagicaVoxel – A free voxel art editor and interactive path tracing renderer,story,https://ephtracy.github.io/,,
1,fofoz,184.0,38048155,208,1698481473,Google to invest up to $2B in Anthropic,story,https://www.reuters.com/technology/google-agrees-invest-up-2-bln-openai-rival-anthropic-wsj-2023-10-27/,"[38050293, 38048482, 38049704, 38050217, 38048598, 38049889, 38048644, 38049324, 38049500, 38050255, 38049751, 38048529, 38050020, 38049331, 38048901, 38049478, 38048502, 38048814, 38048717, 38048615, 38048533, 38048517, 38048609, 38049147, 38048604]",
2,syx,53.0,38047861,223,1698477392,The fun factor of the video game Uplink,story,https://vertette.github.io/post/funfactoruplink,"[38049111, 38048879, 38048888, 38048248, 38050002, 38048144, 38048172, 38050130, 38049734, 38049283, 38049713, 38049919, 38048977, 38049020, 38048321, 38048262, 38049308, 38047989, 38048160, 38047993, 38048443, 38048738, 38048153, 38048013]",
3,1970-01-01,2.0,38018429,18,1698268215,DM1 by Colin Skelton (2015) [pdf],story,http://www.bitsandbytes.shedlandz.co.uk/CS_DM1-1.pdf,"[38048037, 38048600]",
4,chmaynard,60.0,38047743,123,1698475914,Cortex X2: ARM aims high,story,https://chipsandcheese.com/2023/10/27/cortex-x2-arm-aims-high/,"[38049604, 38048993, 38050111, 38049006, 38048786, 38047961, 38048500, 38047834]",
5,kavinaidoo,15.0,38048401,53,1698485111,Magnetically Modelling MagSafe,story,https://kavi.sblmnl.co.za/magnetically-modelling-magsafe/,"[38048822, 38048804, 38049415, 38049110, 38049574]",
6,luu,10.0,38045262,76,1698449175,Writing for Professional and Technical Audiences,story,https://pnewman.org/writing.html,"[38050077, 38049913, 38048925, 38049868, 38049245, 38049756, 38049254]",
7,luu,30.0,38044997,122,1698446905,Algebra,story,https://www.feynmanlectures.caltech.edu/I_22.html,"[38049250, 38049092, 38048990, 38049265, 38045140, 38049619, 38049504, 38045000]",
8,zzzeek,12.0,38049790,18,1698501131,A.I. Muddies Israel-Hamas War in Unexpected Way,story,https://www.nytimes.com/2023/10/28/business/media/ai-muddies-israel-hamas-war-in-unexpected-way.html,"[38050160, 38050229, 38049805, 38050242, 38050093, 38050224]",
9,signa11,87.0,38046448,138,1698459211,A small warning about UDP based protocols,story,https://boston.conman.org/2023/10/25.1,"[38048267, 38047665, 38048877, 38049319, 38047074, 38050095, 38049539, 38047019, 38049776, 38048376, 38048018, 38046988, 38049394, 38049419, 38046964, 38047129, 38047555]",
10,ingve,2.0,38049287,11,1698495986,Where is my file's metadata?,story,https://eclecticlight.co/2023/10/28/where-is-my-files-metadata/,"[38050266, 38049650]",
11,zdw,2.0,38042918,18,1698435408,Kubernetes and Kernel Panics,story,https://netflixtechblog.com/kubernetes-and-kernel-panics-ed620b9c6225?gi=2e8a65263c94,"[38050257, 38050212]",
12,dloss,8.0,38048148,15,1698481366,Kurtosis: A composable build system for reproducible environments,story,https://www.kurtosis.com/,"[38049950, 38049533]",
13,PaulHoule,0.0,38050010,4,1698502813,Webb discovers new feature in Jupiter's atmosphere,story,https://phys.org/news/2023-10-webb-feature-jupiter-atmosphere.html,,
14,prismatic,0.0,38044757,35,1698445228,The Mystic Art of Gardening,story,https://aeon.co/essays/a-rebel-spirit-and-an-artists-eye-russell-pages-landscape-design,,
15,kevinak,64.0,38047872,103,1698477556,WinterJS,story,https://wasmer.io/posts/announcing-winterjs-service-workers,"[38048196, 38048145, 38048088, 38049477, 38049542, 38048843, 38049827, 38048356, 38048096, 38048319, 38048062, 38048880, 38048041]",
16,Gabriel_h,,38047790,1,1698476417,Meticulous (YC S21) Is Hiring to Build AI for UI Testing,job,,,"Hey HN!<p>I&#x27;m Gabriel, CEO and co-founder of Meticulous.<p>Our mission is to radically accelerate the pace of software development for every company in the world. We&#x27;re starting with a tool to catch UI bugs in web applications with zero-effort from developers.<p>How it works: Insert a single line of JavaScript onto your site, and we record thousands of real user sessions. We then replay these sessions on head and base commits of PRs, take screenshots at key points, and diff those screenshots to catch visual regressions before they hit production. We employ novel techniques to eliminate flakes. You can watch a 60-second demo at [meticulous.ai](<a href=""https:&#x2F;&#x2F;meticulous.ai&#x2F;?utm_source=hn"">https:&#x2F;&#x2F;meticulous.ai&#x2F;?utm_source=hn</a>).<p>We are a London-based YC company. Our engineering team previously worked at Dropbox, Opendoor, Palantir and Google, and have previously led 100+ engineer organizations at these companies. We raised $4m and are backed by some of the best founders and technical leaders in Silicon Valley, including Guillermo Rauch (founder Vercel, author next.js), Jason Warner (CTO GitHub), Scott Belsky (CPO Adobe), Calvin French-Owen (founder Segment), Jared Friedman (YC partner and former CTO of Scribd) and a bunch of other incredible folks.<p>Catching visual regressions is just the start. There is an entire category of products to build on top of replay. This ranges from catching exceptions to revealing the performance impact of frontend code.<p>We want to change the way the world develops software, and influence software approaches for decades to come.<p>We are seeding a London office and hiring an onsite founding engineer to join our team of four. We sponsor visas.<p>You will have autonomy in building out this technology, but here are a few problems you might work on:<p>- Build a distributed system to concurrently replay thousands of sessions, such that a developer gets a result in seconds.<p>- Speed up the replay of sessions in a way that retains determinism.<p>- Derive algorithms to detect sessions that cover differing code paths and edge cases, and ignore sessions that are too similar.<p>- Help build out a team of world-class, highly collaborative, software engineers.<p>As founding engineer, you get to shape the company, and build the culture and technology from the ground up.<p>What we look for:<p>In a sentence: Technically brilliant, delightful to work with, combined with a self-awareness and strong desire to improve. We also want to make sure everyone is highly supportive of each other; we win as a team.<p>We&#x27;re currently only looking to bring on folks with senior level skill sets and 5+ years of industry experience. You should have strong web fundamentals and a deep love for software engineering. Maybe you enjoy programming books like Clean Code, Designing Data Intensive Applications, Pragmatic Programmer etc. or enjoy hacking on interesting side projects. You value transparency and candid feedback, and are motivated by a strong desire to become the best engineer you can be.<p>You can read about our values here <a href=""https:&#x2F;&#x2F;ruby-wish-a8f.notion.site&#x2F;Mission-Values-979c32ec58e74856af02da2e59c9f64d"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;ruby-wish-a8f.notion.site&#x2F;Mission-Values-979c32ec58e...</a><p>You will be given the space and time to up-level yourself as an engineer in terms of conferences, reading, or whatever you think will be most valuable. We will also set you up with mentorship, if you desire it, from top engineering leaders (folks running 100-engineer organizations at the world&#x27;s leading tech companies).<p>You’ll get to work alongside some of the best engineers there are, break new ground solving truly novel CS problems and deliver something that transforms how software is built.<p>If this sounds interesting, please reach out to me at gabe [at] meticulous [dot] ai with “HN” in the subject line and 2-3 sentences about what you find interesting about Meticulous and your resume&#x2F;LinkedIn&#x2F;GitHub."
17,Hooke,4.0,38045429,46,1698450478,Bacteria enhances host insect's fertility with implications for disease control,story,https://news.ucsc.edu/2023/10/russell-plos-23.html,"[38049397, 38047507, 38048545]",
18,foota,64.0,38043955,211,1698440880,Large Balloon Reflector: a potentially game-changing antenna design,story,https://www.nasa.gov/directorates/stmd/nasa-tech-breathes-life-into-potentially-game-changing-antenna-design/,"[38046326, 38047138, 38046715, 38045349, 38048082, 38048945, 38049359, 38044511, 38044638, 38045486, 38044239, 38047502, 38046059, 38046030, 38047670, 38045825, 38044566, 38045631, 38048015, 38045960, 38047068, 38044814, 38046218, 38045627, 38045340, 38047605]",
19,cgadski,36.0,38045665,175,1698452604,When gradient descent is a kernel method,story,https://cgad.ski/blog/when-gradient-descent-is-a-kernel-method.html,"[38050055, 38049376, 38049205, 38047886, 38047165, 38048666, 38046663, 38048229, 38048344, 38046418, 38047103, 38046436, 38046626, 38047200, 38047022]",
20,itsnotchester,15.0,38046598,33,1698461047,Show HN: Is It Toxic To? – Check if a plant is toxic to your pets,story,https://iitt.chester.how/,"[38049951, 38050047, 38049765, 38049455, 38049978, 38047135, 38049135, 38048729, 38049466, 38046919, 38048836]","All information is from the ASPCA&#x27;s list of toxic plants (<a href=""https:&#x2F;&#x2F;www.aspca.org&#x2F;pet-care&#x2F;animal-poison-control&#x2F;toxic-and-non-toxic-plants"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;www.aspca.org&#x2F;pet-care&#x2F;animal-poison-control&#x2F;toxic-a...</a>)"
21,swyx,2.0,38045456,31,1698450783,Audioflare: An all-in-one AI audio playground using Cloudflare AI Workers,story,https://github.com/seanoliver/audioflare,[38049437],
22,akling,249.0,38043033,430,1698435983,Shadow: New browser engine made almost entirely in JavaScript,story,https://goose.icu/introducing-shadow/,"[38043902, 38044378, 38043240, 38043283, 38043829, 38050138, 38045624, 38045525, 38045848, 38043700, 38047527, 38044122, 38044554, 38043281, 38046911, 38043696, 38043397, 38044977, 38043303, 38046643, 38044523, 38043381, 38044199, 38043307, 38046349, 38043844, 38043305, 38046122, 38044038, 38047668, 38045087, 38043259, 38045422, 38045240, 38044636, 38044069, 38043618, 38045512, 38043314, 38045139]",
23,maheshrjl,107.0,38037141,487,1698405928,Lessons Learned from Twenty Years of Site Reliability Engineering,story,https://sre.google/resources/practices-and-processes/twenty-years-of-sre-lessons-learned/,"[38040311, 38042359, 38042288, 38041501, 38046375, 38042563, 38043407, 38039769, 38040569, 38039407, 38045829, 38041436, 38042604]",
24,ch3ngl0rd,79.0,38046396,115,1698458759,Staring at a Wall: Embracing Deliberate Boredom,story,https://www.ch3ngl0rd.com/staring-at-a-wall/,"[38047535, 38049746, 38047702, 38049393, 38049148, 38050137, 38047901, 38048134, 38049109, 38047859, 38048409, 38048115, 38048418, 38047477, 38049454, 38047521, 38050125, 38047553, 38047818, 38047779, 38047904, 38048112, 38049565, 38048941, 38049535, 38048441, 38048425, 38048119, 38046397]",
25,hazelnut-tree,52.0,38043781,45,1698440008,Why programming languages matter [video],story,https://www.youtube.com/watch?v=JqYCt9rTG8g,"[38049927, 38044439, 38044362, 38044348, 38046244]",
26,surprisetalk,147.0,38025073,364,1698326051,"Ensō: write now, edit later",story,https://enso.sonnet.io/,"[38042654, 38042970, 38040093, 38040139, 38042462, 38040429, 38042891, 38040492, 38041095, 38043077, 38046111, 38040236, 38048504, 38042770, 38043187, 38049505, 38041252, 38046885, 38047564, 38047366, 38047328, 38046760, 38041066, 38041568, 38040959, 38040087, 38040748, 38041217, 38040834, 38047956, 38042294, 38040635, 38042344, 38040100, 38040628, 38042797, 38040511, 38041346, 38042206, 38049059, 38041076, 38041725, 38040896]",
27,mdwalters,65.0,38045342,167,1698449805,Google can turn ANC earbuds into a heart rate monitor with no extra hardware,story,https://9to5google.com/2023/10/27/google-anc-earbuds-heart-rate/,"[38045760, 38050207, 38049338, 38046739, 38049797, 38047030, 38049407, 38047055, 38046310, 38047661, 38049522]",
28,gridentio,207.0,38035672,463,1698391532,Lean4 helped Terence Tao discover a small bug in his recent paper,story,https://mathstodon.xyz/@tao/111287749336059662,"[38040873, 38036421, 38036035, 38037356, 38037030, 38037639, 38037153, 38036986, 38037420, 38036315, 38036696, 38037617, 38037374, 38036338, 38044561, 38037811, 38036367, 38043736, 38041033, 38037410, 38036196, 38036928, 38036666]",
29,squashToffee,40.0,38043644,169,1698439292,Visualizing quaternions (2018),story,https://eater.net/quaternions,"[38045426, 38049989, 38048285, 38045474, 38047506, 38044495, 38046899, 38047842, 38044451, 38046585]",
30,CathalMullan,924.0,38023891,1795,1698317039,The Cloud Computer,story,https://oxide.computer/blog/the-cloud-computer,"[38024108, 38025440, 38028156, 38027898, 38032443, 38024162, 38049825, 38024296, 38029291, 38024430, 38024331, 38034651, 38026016, 38024446, 38026742, 38024061, 38032786, 38038949, 38031516, 38027355, 38025255, 38025315, 38024120, 38030224, 38024695, 38024686, 38034972, 38024851, 38033629, 38032633, 38024082, 38024028, 38024203, 38026045, 38032962, 38024167, 38024990, 38031870, 38024258, 38030045, 38028063, 38024122, 38025866, 38025213, 38025721, 38028430, 38047449, 38036159, 38025735, 38027591, 38033494, 38028895, 38025000, 38024186, 38043111, 38033971, 38028668, 38024759, 38025603, 38028339, 38027038, 38031022, 38032616, 38030360, 38030560, 38024537, 38025495, 38025858, 38040538, 38039290, 38028864, 38025302, 38028360, 38024669, 38034097, 38025494, 38025911, 38035941, 38033466, 38026402, 38047468, 38025179, 38025839, 38028205, 38026396, 38024194, 38026741, 38024252, 38043070, 38024993, 38024725, 38024822, 38028194, 38025242, 38034920, 38024780, 38037199, 38026530, 38025165, 38024913, 38024429, 38031908, 38032453, 38025892, 38033951, 38026579, 38029395, 38031836, 38026852, 38028989, 38030190, 38026914, 38032647, 38033487, 38033344, 38032525, 38029358, 38029156, 38028316, 38028028, 38025016, 38029704, 38032439, 38025917, 38024132, 38025664, 38024297, 38024275, 38024832, 38026273, 38024487, 38024237]",
31,wslh,44.0,38044420,74,1698443122,Can the language of proof assistants be used for general purpose programming?,story,https://proofassistants.stackexchange.com/questions/1093/can-the-language-of-proof-assistants-be-used-for-general-purpose-programming,"[38045826, 38049333, 38046763, 38045501, 38045418, 38048169, 38047664, 38046650, 38045216, 38047159, 38045771, 38049102]",
32,apsec112,0.0,38046970,6,1698465098,Pretraining on the Test Set Is All You Need,story,https://arxiv.org/abs/2309.08632,,
